year,lower,upper,hs_category,iso,country,hours
2023,26,32,Moderate (26-32),AFG,Afghanistan,1701.876220703125
2023,26,32,Moderate (26-32),GBR,United Kingdom,122.4596176147461
2023,26,32,Moderate (26-32),ALB,Albania,1247.904296875
2023,26,32,Moderate (26-32),DZA,Algeria,3357.6337890625
2023,26,32,Moderate (26-32),USA,United States,1067.0006103515625
2023,26,32,Moderate (26-32),ATG,Antigua & Barbuda,3947.215576171875
2023,26,32,Moderate (26-32),ARG,Argentina,1403.9901123046875
2023,26,32,Moderate (26-32),AND,Andorra,288.85797119140625
2023,26,32,Moderate (26-32),AGO,Angola,3282.646484375
2023,26,32,Moderate (26-32),ARM,Armenia,581.84527587890625
2023,26,32,Moderate (26-32),NLD,Netherlands,378.4996032714844
2023,26,32,Moderate (26-32),AUS,Australia,2800.091796875
2023,26,32,Moderate (26-32),AUT,Austria,498.5277404785156
2023,26,32,Moderate (26-32),AZE,Azerbaijan,1368.1009521484375
2023,26,32,Moderate (26-32),BHS,"Bahamas, The",4451.8798828125
2023,26,32,Moderate (26-32),BRB,Barbados,4110.75341796875
2023,26,32,Moderate (26-32),BLR,Belarus,417.58331298828125
2023,26,32,Moderate (26-32),BEL,Belgium,407.31488037109375
2023,26,32,Moderate (26-32),BLZ,Belize,5254.95263671875
2023,26,32,Moderate (26-32),BTN,Bhutan,656.091064453125
2023,26,32,Moderate (26-32),BOL,Bolivia,3480.9716796875
2023,26,32,Moderate (26-32),BIH,Bosnia & Herzegovina,934.8751220703125
2023,26,32,Moderate (26-32),BWA,Botswana,2910.27734375
2023,26,32,Moderate (26-32),NOR,Norway,43.63544464111328
2023,26,32,Moderate (26-32),COL,Colombia,5257.99267578125
2023,26,32,Moderate (26-32),COM,Comoros,5308.3388671875
2023,26,32,Moderate (26-32),BRA,Brazil,4857.35498046875
2023,26,32,Moderate (26-32),FRA,France,1209.18701171875
2023,26,32,Moderate (26-32),COD,"Congo, Dem Rep of the",4363.96484375
2023,26,32,Moderate (26-32),COG,"Congo, Rep of the",4737.46142578125
2023,26,32,Moderate (26-32),NZL,New Zealand,124.92658233642578
2023,26,32,Moderate (26-32),BRN,Brunei,7122.7392578125
2023,26,32,Moderate (26-32),BGR,Bulgaria,1067.3485107421875
2023,26,32,Moderate (26-32),BFA,Burkina Faso,5231.8994140625
2023,26,32,Moderate (26-32),BDI,Burundi,2417.735107421875
2023,26,32,Moderate (26-32),CPV,Cabo Verde,2140.169677734375
2023,26,32,Moderate (26-32),KHM,Cambodia,6414.24072265625
2023,26,32,Moderate (26-32),CMR,Cameroon,4300.29150390625
2023,26,32,Moderate (26-32),CAN,Canada,193.64756774902344
2023,26,32,Moderate (26-32),CRI,Costa Rica,4674.3935546875
2023,26,32,Moderate (26-32),CIV,Cote d'Ivoire,5029.07568359375
2023,26,32,Moderate (26-32),HRV,Croatia,1162.1336669921875
2023,26,32,Moderate (26-32),CUB,Cuba,5107.6337890625
2023,26,32,Moderate (26-32),CAF,Central African Rep,4634.490234375
2023,26,32,Moderate (26-32),TCD,Chad,4485.11572265625
2023,26,32,Moderate (26-32),CHL,Chile,653.0743408203125
2023,26,32,Moderate (26-32),CHN,China,1157.47509765625
2023,26,32,Moderate (26-32),CYP,Cyprus,2231.6630859375
2023,26,32,Moderate (26-32),CZE,Czechia,537.3599853515625
2023,26,32,Moderate (26-32),DNK,Denmark,110.52471160888672
2023,26,32,Moderate (26-32),DJI,Djibouti,5690.7470703125
2023,26,32,Moderate (26-32),DMA,Dominica,3445.092529296875
2023,26,32,Moderate (26-32),DOM,Dominican Republic,4499.66943359375
2023,26,32,Moderate (26-32),ECU,Ecuador,3670.690673828125
2023,26,32,Moderate (26-32),EGY,Egypt,3082.66455078125
2023,26,32,Moderate (26-32),SLV,El Salvador,5382.5263671875
2023,26,32,Moderate (26-32),GNQ,Equatorial Guinea,4461.7578125
2023,26,32,Moderate (26-32),ERI,Eritrea,4864.81982421875
2023,26,32,Moderate (26-32),EST,Estonia,188.49148559570312
2023,26,32,Moderate (26-32),ETH,Ethiopia,3354.509521484375
2023,26,32,Moderate (26-32),FJI,Fiji,3722.541748046875
