country,total_hrs
United Arab Emirates,59450.00378417969
Qatar,53918.573974609375
Kuwait,53209.49774169922
Oman,49376.753967285156
Saudi Arabia,42880.33743286133
Bahrain,39084.664065122604
Iraq,39077.225006103516
Pakistan,35004.43005371094
Cambodia,34890.6425306797
Yemen,34881.767578125
Brunei,32230.692169189453
India,29448.97671508789
Thailand,28042.826979279518
Malaysia,26634.52165222168
Bangladesh,26526.226492524147
Indonesia,24209.33575439453
Sri Lanka,23085.11311340332
Australia,22622.050968170166
Iran,21832.566802978516
Philippines,20742.979164123535
Singapore,20328.662658691406
Syria,19980.303928375244
Burma,19543.274687051773
Turkmenistan,18919.177989959717
Jordan,18832.151213407516
Timor-Leste,18161.421348571777
Papua New Guinea,18107.596366882324
Laos,17205.211338996887
Israel,16839.635786294937
Afghanistan,16821.48324584961
Solomon Is,16205.821024894714
Nepal,14290.082452893257
Uzbekistan,14007.46891784668
Nauru,13214
Maldives,11846.449521422386
Tajikistan,11514.718234062195
Tuvalu,10946.002044677734
Fiji,10604.364737987518
Samoa,10372.224508285522
Cyprus,10157.971907377243
Palau,10001.678955078125
Azerbaijan,8136.936302781105
"Micronesia, Fed States of",7524.725494384766
Vanuatu,7022.103439331055
China,6451.994155883789
Lebanon,5742.3994140625
Turkey,5545.548678398132
Kazakhstan,5496.084195613861
Kyrgyzstan,5197.385037660599
Kiribati,4783.356898546219
Marshall Is,4457.8429436683655
"Korea, South",3430.6208901405334
Bhutan,3399.695147752762
Georgia,3046.055596113205
Japan,2621.9848527908325
Armenia,2098.4022274017334
Mongolia,1919.5218799114227
Tonga,1772.3016967773438
"Korea, North",1710.7374612092972
New Zealand,119.04143285751343
